Type,System_variable_name,Custom_variable_name,Text,Characteristic,Value_labels,Color_Category,Comments
,Q4A14,F2A14,About Russia using nuclear weapons,"1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",Yellow,
rating,-,F3,"Below, you will again see a series of statements. For each statement, please indicate how much you agree or disagree with it.",,,Grey,
,Q5A1_1,F3A1_1,The current situation reinforces social cohesion in the US.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A2_1,F3A2_1,The US is increasingly fragmenting into extreme political groups.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A3_1,F3A3_1,"In the US, you can express your opinion  publicly without fear of hostility.","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A4_1,F3A4_1,"In the US, political debates are increasingly heated.","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A5_1,F3A5_1,We can continue to accept refugees from Ukraine in the US.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A6_1,F3A6_1,We no longer have room in the US for refugees from countries other than Ukraine.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A7_1,F3A7_1,Foreigners exacerbate crime problems.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A8_1,F3A8_1,Foreigners are taking jobs away from Americans.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A9_1,F3A9_1,The welfare system in the US can handle foreigners.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A10_1,F3A10_1,The US needs to do much more to tackle climate change.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A11_1,F3A11_1,"Priority should be given to protecting the environment, even if this reduces economic growth and jobs are lost.","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A12_1,F3A12_1,I am willing to limit my energy consumption for climate protection.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A13_1,F3A13_1,I support the sanctions against Russia despite the disadvantages for the US.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A14_1,F3A14_1,The US should provide military support to Ukraine as long as the war continues.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A15_1,F3A15_1,I think the current coronavirus measures in the US are too extreme.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A16_1,F3A16_1,"In the current situation, it should be mandatory for masks to be worn indoors.","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A17_1,F3A17_1,Individuals who are infected with coronavirus should still be required to isolate.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A18_1,F3A18_1,I express my political opinions at demonstrations.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,
,Q5A19_1,F3A19_1,Our political leaders should pursue the expansion of renewable energies as a top priority.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",Yellow,
,Q5A20_1,F3A20_1,"For financial reasons, I limit my energy consumption.","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",Yellow,
,Q5A21_1,F3A21_1,"Currently, it makes sense to invest in stocks.","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",Yellow,
,Q5A22_1,F3A22_1,Ukraine should accept the loss of land to end the war.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",Yellow,
,Q5A23_1,F3A23_1,Hamas is supported by the majority of Palestinians in Gaza.,"1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,
,Q5A24_1,F3A24_1,Israel is a legitimate state.,"1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,
,Q5A25_1,F3A25_1,There should be a Palestinian state.,"1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,
,Q5A26_1,F3A26_1,"When it comes to Israeli politics, I can easily understand why people dislike Jews.","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,
,Q5A27_1,F3A27_1,Antisemitism in the United States poses a threat to Jews.,"1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,
,Q5A28_1,F3A28_1,The Israeli perspective dominates reporting in the American media.,"1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,
,Q5A29_1,F3A29_1,Hamas is a terrorist organization,"1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,
,Q5A30_1,F3A30_1,"In the current public debate on the Arab-Israeli conflict, arguments are greatly exaggerated and simplified.","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,
,Q5A31_1,F3A31_1,"Under certain circumstances, a dictatorship is the better form of government in the national interest.","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,
,Q5A32_1,F3A32_1,We should finally regain the courage to have a strong sense of national identity.,"1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,
,Q5A33_1,F3A33_1,The practice of the Islamic faith in the United States should be restricted.,"1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,
,Q5A34_1,F3A34_1,Muslims do not fit into the American Society,"1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,passen oder passen nicht?
,Q5A35_1,F3A35_1,Jews do not fit into the American Society,"1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,
,Q5A36_1,F3A36_1,"In the United States, a critical attitude towards Israel is considered socially unacceptable.","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,
Formulierung,-,F3B,"For the following questions, please choose exactly one answer that you think is correct.",,,Green,Formulierung
,Q6A1_1,F3B1_1,How many Jews live in the United States?,"1,2,3,4,5,6","less than 0.5%,between 0.5% and 2%,between 2% and 5%,between 5% and 15%,between 15% and 25%,I don't know",Green,
,Q6A2_1,F3B2_1,How many Muslims live in the United States?,"1,2,3,4,5,6","less than 0.5%,between 0.5% and 2%,between 2% and 5%,between 5% and 15%,between 15% and 25%,I don't know",Green,
,Q6A3_1,F3B3_1,"For Jews, the greatest threat comes from the following part of society:","1,2,3,4,5,6","The Left,The Right,Muslims,Society as a whole,I don't know",Green,
,Q7_question,,There is a debate on which role different countries play in the Ukraine war. Please indicate for each state/actor whether you think it is more likely that they contribute to the resolution of the Ukraine war or its escalation.,"1,2,3,4,5,6,7,8,9,10,11",0-contributes to conflict resolution and 10-contributes to conflict intensification,Yellow,
,,F3_USAA1,USA,"1,2,3,4,5,6,7,8,9,10,11",0-contributes to conflict resolution and 10-contributes to conflict intensification,Yellow,
,,F3_CHINAA1,China,"1,2,3,4,5,6,7,8,9,10,11",0-contributes to conflict resolution and 10-contributes to conflict intensification,Yellow,
,,F3_DeutschlandA1,Germany,"1,2,3,4,5,6,7,8,9,10,11",0-contributes to conflict resolution and 10-contributes to conflict intensification,Yellow,
,,F3_RusslandA1,Russia,"1,2,3,4,5,6,7,8,9,10,11",0-contributes to conflict resolution and 10-contributes to conflict intensification,Yellow,
,,F3_UkraineA1,Ukraine,"1,2,3,4,5,6,7,8,9,10,11",0-contributes to conflict resolution and 10-contributes to conflict intensification,Yellow,
,,F3_EUA1,EU,"1,2,3,4,5,6,7,8,9,10,11",0-contributes to conflict resolution and 10-contributes to conflict intensification,Yellow,
,,F3_NATOA1,NATO,"1,2,3,4,5,6,7,8,9,10,11",0-contributes to conflict resolution and 10-contributes to conflict intensification,Yellow,
,,,There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate for each state/actor whether you think it is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation.,,,Green,
,,F3B_Hamas,Hamas,"1,2,3,4,5,6,7,8,9,10,11",0-contributes to conflict resolution and 10-contributes to conflict intensification,Green,
,,F3B_Israel,Israel,"1,2,3,4,5,6,7,8,9,10,11",0-contributes to conflict resolution and 10-contributes to conflict intensification,Green,
,,F3B_Deutschland,Germany,"1,2,3,4,5,6,7,8,9,10,11",0-contributes to conflict resolution and 10-contributes to conflict intensification,Green,
,,F3B_USA,USA,"1,2,3,4,5,6,7,8,9,10,11",0-contributes to conflict resolution and 10-contributes to conflict intensification,Green,
,,F3B_UN,United Nations,"1,2,3,4,5,6,7,8,9,10,11",0-contributes to conflict resolution and 10-contributes to conflict intensification,Green,
,,F3B_Iran,Iran,"1,2,3,4,5,6,7,8,9,10,11",0-contributes to conflict resolution and 10-contributes to conflict intensification,Green,
,,F3B_Katar,Qatar,"1,2,3,4,5,6,7,8,9,10,11",0-contributes to conflict resolution and 10-contributes to conflict intensification,Green,
rating,-,F5,Please take a look at the list below. How much trust do you have in each of the institutions mentioned?,,,Grey,
,Q10A1_1,F5A1_1,The church,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
,Q10A2_1,F5A2_1,The Armed Forces,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
,Q10A3_1,F5A3_1,The police,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
,Q10A4_1,F5A4_1,Congress,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
,Q10A5_1,F5A5_1,Presidency,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
,Q10A6_1,F5A6_1,Supreme Court,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
,Q10A7_1,F5A7_1,The government,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
,Q10A8_1,F5A8_1,The legal system,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
,Q10A9_1,F5A9_1,The public administration,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
,Q10A10_1,F5A10_1,The health system,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
,Q10A11_1,F5A11_1,The political parties,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
,Q10A11_2,F5A11_2,Stock markets,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",Yellow,
,Q10A12_1,F5A12_1,The press and the newspapers,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
,Q10A13_1,F5A13_1,Public television,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
,Q10A14_1,F5A14_1,Private television stations,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
,Q10A15_1,F5A15_1,Classic news sites on the Internet (e.g. nytimes.com or washingtonpost.com),"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
,Q10A16_1,F5A16_1,"Social media (e.g. Twitter, Facebook, Telegram)","1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,
rating,-,F5a,"How often do you get news from sources, such as...?",,,Grey,
,Q11A1_1,F5aA1_1,"...public media institutions  (National Public Radio (NPR), Public Broadcasting Service (PBS), and local public broadcasting services)","1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,
,Q11A2_1,F5aA2_1,"...from privately established media companies  (Fox Broadcasting Company (FOX), American Broadcasting Company (abc), National Broadcasting Company (NBC), The Wall Street Journal, New York Times, USA Today)","1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,
,Q11A3_1,F5aA3_1,"...from alternative providers (newsbloggers, social media influencers, etc)","1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,
rating,-,F5b,What channels do you use to access this?,,,Grey,
,Q12A1_1,F5bA1_1,Websites and news apps,"1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,
,Q12A2_1,F5bA2_1,"Social media (Facebook, Instagram, Youtube, Twitter, TikTok, etc.)","1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,
,Q12A3_1,F5bA3_1,"Messenger services (WhatsApp, Telegram, Facebook Messenger, Threema)","1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,
,Q12A4_1,F5bA4_1,Television,"1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,
,Q12A5_1,F5bA5_1,Radio and podcasts,"1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,
,Q12A6_1,F5bA6_1,Print media,"1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,
rating,-,F5c,"Below you will again see a series of statements. For each statement, please indicate how much you agree or disagree with it.",,,Green,
,Q19A1_1,F5cA1_1,Artificial intelligence has a negative impact on content on social media.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",Green,
,Q19A2_1,F5cA2_1,I encounter disinformation in my everyday life.,"1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",Green,
table,-,F6a_DemParty,"The following questions relate to political parties in the US. For each party, we would like you to indicate how good or bad you think this party is.",,,Grey,
,Q14A1,F6a_DemPartyA1,Democratic Party,"1,2,3,4,5,6,7,8,9,10,11",0-Very Bad to 10-Very Good,,"Error in coding numbers, check in data"
,Q14A2,F6a_DemPartyA2,Democratic Party,1,I don't know this party,,
table,-,F6a_RepParty,"The following questions relate to political parties in the US. For each party, we would like you to indicate how good or bad you think this party is.",,,Grey,
,Q15A1,F6a_RepPartyA1,Republican Party,"1,2,3,4,5,6,7,8,9,10,11",0-Very Bad to 10-Very Good,,"Error in coding numbers, check in data"
,Q15A2,F6a_RepPartyA2,Republican Party,1,I don't know this party,,
table,-,F6b_DemParty,"In politics, there is often talk of right and left. Where would you rank the following parties on this scale?",,,Grey,
,Q17A1,F6b_DemPartyA1,Democratic Party,"1,2,3,4,5,6,7,8,9,10,11",0-Left to 10-Right,,"Error in coding numbers, check in data"
,Q17A2,F6b_DemPartyA2,,1,I don't know this party,,
table,-,F6b_RepParty,"In politics, there is often talk of right and left. Where would you rank the following parties on this scale?",,,Grey,
,Q18A1,F6b_RepPartyA1,,"1,2,3,4,5,6,7,8,9,10,11",0-Left to 10-Right,,"Error in coding numbers, check in data"
,Q18A2,F6b_RepPartyA2,,1,I don't know this party,,
rating,-,F6m,Where would you place your own political position?,,,Grey,
,Q19A1_1,F6mA1_1,,"1,2,3,4,5,6,7,8,9,10,11",0-Left to 10-Right,,
single,Q20,F7a,What gender are you?,"1,2,3,4","Male,Female,Non-binary,I don`t want to say",,
input,-,F7b,Please enter your ZIP code.,,,Grey,
,Q21A1,F7bA1,Enter a 5-digit number.:,,,,
input,-,F7c,In which year were you born?,,,Grey,
,Q22A1,F7cA1,"In which year were you born?, Enter a 4-digit number between 1910 and 2010:",,,,
single,Q23,F7d,Were you born in the US?,"1,2","Yes,No",,
single,Q24,F7e,Was your mother born in the US?,"1,2","Yes,No",,
single,Q25,F7f,Was your father born in the US?,"1,2","Yes,No",,
single,Q26,einkommen,"What is your approximate yearly household net income? Please indicate which category your household is in if you add together the monthly net income of all household members: All wages, salaries, pensions and other incomes after payroll taxes e.g. social security (OASDI), medicare taxes, unemployment taxes.","1,2,3,4,5,6,7","Less than $10000,$10000 to $24999,$25000 to 49999,$50000 to 74999,$75000 to 99999,$100000 to 149999,$150000 and greater",,
single,Q27,F7g,What is the highest educational level that you have?,"1,2,3,4,5,6,7,8,9","Early childhood education / no education,Primary education,Lower secondary education,Upper secondary education,Post secondary non-tertiary education,Short-cycle tertiary education,Bachelor or equivalent,Master or equivalent,Doctoral or equivalent",,
single,Q28,F7h,What is your employment status?,"1,2,3,4,5,6,7,8","Full time employee (30 hours a week or more),Part time employee (less than 30 hours a week),Self employed,Retired/pensioned,Housewife/househusband not otherwise employed,Student,Unemployed,Other",,
single,Q29,F7i,What is your marital status?,"1,2,3,4,5,6,7","Married,Registered civil partnership,Widowed,Separated from partner,Single/never married/never in a registered civil partnership,I don't know,No answer",,
input,-,F7j,"How many people live in your household, including yourself?",,,Grey,
,Q30A1,F7jA1,"How many people live in your household, including yourself?",,,,
input,-,F7k,How many children live in your household?,,,Grey,
,Q31A1,F7kA1,How many children live in your household?,,,,
single,Q32,F7lA1,Which religious community do you belong to?,"1,2,3,4,5,6,7,8,9","Roman Catholic,Protestant,Orthodox (Russian/Greek/etc.),Jew,Muslim,Hindu,Buddhist,Other,None",,
single,Q33,F7mA1,To which of the following occupational groups do you belong?,"1,2,3,4,5,6,7,8,9,10,11,12,13,14","Professional and technical (for example: doctor/ teacher/ engineer/ artist/ accountant),Higher administrative (for example: banker/ executive in big business/ high government official/ union official),Clerical (for example: secretary/ clerk/ office manager/ civil servant/ bookkeeper),Sales (for example: sales manager/ shop owner/ shop assistant/ insurance agent/ buyer),Service in health/ medical and nursing care (for example: nurse/ caretaker),Other Service (for example: restaurant owner/ police officer/ waitress/ barber),Skilled worker (for example: foreman/ motor mechanic/ printer/ seamstress/ tool and die maker/ electrician),Semi-skilled worker (for example: bricklayer/ bus driver/ cannery worker/ carpenter/ sheet metal worker/ baker),Unskilled worker (for example: laborer/ porter/ unskilled factory worker/ cleaner),Farm worker (for example: farm laborer/ tractor driver),Farm proprietor/ farm manager,Student,Never had a job,No answer",,
single,Q34,F7n,Which ethnic group do you belong to?,"1,2,3,4,5,6,7,8,9,10","White,Hispanic and Latino,Black or African American,South Asian Indian/ Pakistani/ etc.,East Asian Chinese/ Japanese/ etc.,Arabic/ Central Asian,Native American or Alaska Native,Native Hawaiian or Other Pacific Islanders,Some other race,Two or more races",,
