Type,System_variable_name,Custom_variable_name,Text,Characteristic,Value_labels,Color_Category,Comments,,
,Q3A13_1,F1A13_1,"Please indicate how much you agree or disagree with the statement: ""The energy crisis is worsening my situation.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A14_1,F1A14_1,"Please indicate how much you agree or disagree with the statement: ""I am able to deal with the energy crisis more easily than I was with past crises.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A15_1,F1A15_1,"Please indicate how much you agree or disagree with the statement: ""I feel very angry when I think about how we got into the current situation.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A16_1,F1A16_1,"Please indicate how much you agree or disagree with the statement: ""I feel like our political leaders don`t give me enough information.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A17_1,F1A17_1,"Please indicate how much you agree or disagree with the statement: ""I believe that our political leaders are handling the current crises well.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A18_1,F1A18_1,"Please indicate how much you agree or disagree with the statement: "" Please click on ‘Disagree’ here.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q3A19_1,F1A19_1,"Please indicate how much you agree or disagree with the statement: ""In the US, we are overcoming the current challenges better than other nations.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
table,-,F2,To what extent do the following things cause you concern?,-,-,Grey,,,
,Q4A1,F2A1,"To what extent does ""No longer being able to pay your bills"" cause you concern?","1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,,,
,Q4A2,F2A2,"To what extent does ""Having to limit yourself when shopping"" cause you concern?","1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,,,
,Q4A3,F2A3,"To what extent does ""The possibility of losing your job"" cause you concern?","1,2,3,4,5,6","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned,no job / no answer",,Corrected: Characteristic,,
,Q4A4,F2A4,"To what extent does ""The situation of young people in the US"" cause you concern?","1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,,,
,Q4A5,F2A5,"To what extent does ""The situation of elderly people in the US"" cause you concern?","1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,,,
,Q4A6,F2A6,"To what extent does ""The fact that the US is getting more deeply involved in the war in Ukraine"" cause you concern?","1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,,,
,Q4A7,F2A7,"To what extent does ""The situation of Ukrainian refugees in the US"" cause you concern?","1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,,,
,Q4A8,F2A8,"To what extent does ""The situation of non-Ukrainian refugees in the US"" cause you concern?","1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,,,
,Q4A9,F2A9,"To what extent does ""The state of the US health care system"" cause you concern?","1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,,,
,Q4A10,F2A10,"To what extent does ""The prosperity of our society."" cause you concern?","1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,,,
,Q4A11,F2A11,"To what extent does ""The environmental situation in your immediate area"" cause you concern?","1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,,,
,Q4A12,F2A12,"To what extent does ""Global climate change"" cause you concern?","1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",,,,
,Q4A14,F2A14,"To what extent does ""About Russia using nuclear weapons"" cause you concern?","1,2,3,4,5","not concerned at all,not very concerned,moderately concerned,quite concerned,very concerned",Yellow,,,
rating,-,F3,"Below, you will again see a series of statements. For each statement, please indicate how much you agree or disagree with it.",-,,Grey,,,
,Q5A1_1,F3A1_1,"Please indicate how much you agree or disagree with the statement: ""The current situation reinforces social cohesion in the US.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A2_1,F3A2_1,"Please indicate how much you agree or disagree with the statement: ""The US is increasingly fragmenting into extreme political groups.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A3_1,F3A3_1,"Please indicate how much you agree or disagree with the statement: ""In the US, you can express your opinion  publicly without fear of hostility.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A4_1,F3A4_1,"Please indicate how much you agree or disagree with the statement: ""In the US, political debates are increasingly heated.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A5_1,F3A5_1,"Please indicate how much you agree or disagree with the statement: ""We can continue to accept refugees from Ukraine in the US.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A6_1,F3A6_1,"Please indicate how much you agree or disagree with the statement: ""We no longer have room in the US for refugees from countries other than Ukraine.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A7_1,F3A7_1,"Please indicate how much you agree or disagree with the statement: ""Foreigners exacerbate crime problems.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A8_1,F3A8_1,"Please indicate how much you agree or disagree with the statement: ""Foreigners are taking jobs away from Americans.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A9_1,F3A9_1,"Please indicate how much you agree or disagree with the statement: ""The welfare system in the US can handle foreigners.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A10_1,F3A10_1,"Please indicate how much you agree or disagree with the statement: ""The US needs to do much more to tackle climate change.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A11_1,F3A11_1,"Please indicate how much you agree or disagree with the statement: ""Priority should be given to protecting the environment, even if this reduces economic growth and jobs are lost.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A12_1,F3A12_1,"Please indicate how much you agree or disagree with the statement: ""I am willing to limit my energy consumption for climate protection.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A13_1,F3A13_1,"Please indicate how much you agree or disagree with the statement: ""I support the sanctions against Russia despite the disadvantages for the US.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A14_1,F3A14_1,"Please indicate how much you agree or disagree with the statement: ""The US should provide military support to Ukraine as long as the war continues.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A15_1,F3A15_1,"Please indicate how much you agree or disagree with the statement: ""I think the current coronavirus measures in the US are too extreme.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A16_1,F3A16_1,"Please indicate how much you agree or disagree with the statement: ""In the current situation, it should be mandatory for masks to be worn indoors.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A17_1,F3A17_1,"Please indicate how much you agree or disagree with the statement: ""Individuals who are infected with coronavirus should still be required to isolate.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A18_1,F3A18_1,"Please indicate how much you agree or disagree with the statement: ""I express my political opinions at demonstrations.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",,,,
,Q5A19_1,F3A19_1,"Please indicate how much you agree or disagree with the statement: ""Our political leaders should pursue the expansion of renewable energies as a top priority.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",Yellow,,,
,Q5A20_1,F3A20_1,"Please indicate how much you agree or disagree with the statement: ""For financial reasons, I limit my energy consumption.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",Yellow,,,
,Q5A21_1,F3A21_1,"Please indicate how much you agree or disagree with the statement: ""Currently, it makes sense to invest in stocks.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",Yellow,,,
,Q5A22_1,F3A22_1,"Please indicate how much you agree or disagree with the statement: ""Ukraine should accept the loss of land to end the war.""","1,2,3,4,5,6,7","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree",Yellow,,,
,Q5A23_1,F3A23_1,"Please indicate how much you agree or disagree with the statement: ""Hamas is supported by the majority of Palestinians in Gaza.""","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,,,
,Q5A24_1,F3A24_1,"Please indicate how much you agree or disagree with the statement: ""Israel is a legitimate state.""","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,,,
,Q5A25_1,F3A25_1,"Please indicate how much you agree or disagree with the statement: ""There should be a Palestinian state.""","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,,,
,Q5A26_1,F3A26_1,"Please indicate how much you agree or disagree with the statement: ""When it comes to Israeli politics, I can easily understand why people dislike Jews.""","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,,,
,Q5A27_1,F3A27_1,"Please indicate how much you agree or disagree with the statement: ""Antisemitism in the United States poses a threat to Jews.""","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,,,
,Q5A28_1,F3A28_1,"Please indicate how much you agree or disagree with the statement: ""The Israeli perspective dominates reporting in the American media.""","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,,,
,Q5A29_1,F3A29_1,"Please indicate how much you agree or disagree with the statement: ""Hamas is a terrorist organization""","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,,,
,Q5A30_1,F3A30_1,"Please indicate how much you agree or disagree with the statement: ""In the current public debate on the Arab-Israeli conflict, arguments are greatly exaggerated and simplified.""","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,,,
,Q5A31_1,F3A31_1,"Please indicate how much you agree or disagree with the statement: ""Under certain circumstances, a dictatorship is the better form of government in the national interest.""","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,,,
,Q5A32_1,F3A32_1,"Please indicate how much you agree or disagree with the statement: ""We should finally regain the courage to have a strong sense of national identity.""","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,,,
,Q5A33_1,F3A33_1,"Please indicate how much you agree or disagree with the statement: ""The practice of the Islamic faith in the United States should be restricted.""","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,,,
,Q5A34_1,F3A34_1,"Please indicate how much you agree or disagree with the statement: ""Muslims do not fit into the American Society""","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,passen oder passen nicht?,,
,Q5A35_1,F3A35_1,"Please indicate how much you agree or disagree with the statement: ""Jews do not fit into the American Society""","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,,,
,Q5A36_1,F3A36_1,"Please indicate how much you agree or disagree with the statement: ""In the United States, a critical attitude towards Israel is considered socially unacceptable.""","1,2,3,4,5,6,7,8","Completely agree,Agree,Agree to some extent,Neither agree nor disagree,Disagree to some extent,Disagree,Completely disagree,I don't know",Green,,,
Formulierung,-,F3B,"For the following questions, please choose exactly one answer that you think is correct.",-,,Green,Formulierung,,
,Q6A1_1,F3B1,How many Jews live in the United States?,"1,2,3,4,5,6","less than 0.5%,between 0.5% and 2%,between 2% and 5%,between 5% and 15%,between 15% and 25%,I don't know",Green,Corrected: Custom_variable_name,,
,Q6A2_1,F3B2,How many Muslims live in the United States?,"1,2,3,4,5,6","less than 0.5%,between 0.5% and 2%,between 2% and 5%,between 5% and 15%,between 15% and 25%,I don't know",Green,Corrected: Custom_variable_name,,
,Q6A3_1,F3B3,"For Jews, the greatest threat comes from the following part of society:","1,2,3,4,5,6","The Left,The Right,Muslims,Society as a whole,I don't know",Green,Corrected: Custom_variable_name,,
,Q7_question,,There is a debate on which role different countries play in the Ukraine war. Please indicate for each state/actor whether you think it is more likely that they contribute to the resolution of the Ukraine war or its escalation.,-,,Yellow,,,
,,F3_USA,"There is a debate on which role different countries play in the Ukraine war. Please indicate whether you think ""USA""  is more likely that they contribute to the resolution of the Ukraine war or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Yellow,Corrected: Value_labels and Custom_variable_name,,
,,F3_CHINA,"There is a debate on which role different countries play in the Ukraine war. Please indicate whether you think ""China""  is more likely that they contribute to the resolution of the Ukraine war or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Yellow,Corrected: Value_labels.,,
,,F3_Deutschland,"There is a debate on which role different countries play in the Ukraine war. Please indicate whether you think ""Germany""  is more likely that they contribute to the resolution of the Ukraine war or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Yellow,Corrected: Value_labels.,,
,,F3_Russland,"There is a debate on which role different countries play in the Ukraine war. Please indicate whether you think ""Russia""  is more likely that they contribute to the resolution of the Ukraine war or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Yellow,Corrected: Value_labels.,,
,,F3_Ukraine,"There is a debate on which role different countries play in the Ukraine war. Please indicate whether you think ""Ukraine""  is more likely that they contribute to the resolution of the Ukraine war or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Yellow,Corrected: Value_labels.,,
,,F3_EU,"There is a debate on which role different countries play in the Ukraine war. Please indicate whether you think ""EU""  is more likely that they contribute to the resolution of the Ukraine war or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Yellow,Corrected: Value_labels.,,
,,F3_NATO,"There is a debate on which role different countries play in the Ukraine war. Please indicate whether you think ""NATO""  is more likely that they contribute to the resolution of the Ukraine war or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Yellow,Corrected: Value_labels.,,
,,,There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate for each state/actor whether you think it is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation.,-,,Green,,,
,,F3B_Hamas,"There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate whether you think ""Hamas"" is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Green,Corrected: Value_labels.,,
,,F3B_Israel,"There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate whether you think ""Israel"" is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Green,Corrected: Value_labels.,,
,,F3B_Deutschland,"There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate whether you think ""Germany"" is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Green,Corrected: Value_labels.,,
,,F3B_USA,"There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate whether you think ""USA"" is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Green,Corrected: Value_labels.,,
,,F3B_UN,"There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate whether you think ""United Nations"" is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Green,Corrected: Value_labels.,,
,,F3B_Iran,"There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate whether you think ""Iran"" is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Green,Corrected: Value_labels.,,
,,F3B_Katar,"There is a debate on which role different countries play in the Arab-Israeli conflict war. Please indicate whether you think ""Qatar"" is more likely that they contribute to the resolution of the Arab-Israeli conflict or its escalation. ","1,2,3,4,5,6,7,8,9,10,11",1-contributes to conflict resolution and 11-contributes to conflict intensification,Green,Corrected: Value_labels.,,
rating,-,F5,Please take a look at the list below. How much trust do you have in each of the institutions mentioned?,-,,Grey,,,
,Q10A1_1,F5A1_1,How much trust do you have in the institution: The church ? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A2_1,F5A2_1,How much trust do you have in the institution: The Armed Forces? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A3_1,F5A3_1,How much trust do you have in the institution: The police ? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A4_1,F5A4_1,How much trust do you have in the institution: Congress ? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A5_1,F5A5_1,How much trust do you have in the institution: Presidency? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A6_1,F5A6_1,How much trust do you have in the institution: Supreme Court? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A7_1,F5A7_1,How much trust do you have in the institution: The government? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A8_1,F5A8_1,How much trust do you have in the institution: The legal system? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A9_1,F5A9_1,How much trust do you have in the institution: The public administration? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A10_1,F5A10_1,How much trust do you have in the institution: The health system? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A11_1,F5A11_1,How much trust do you have in the institution: The political parties? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A11_2,F5A11_2,How much trust do you have in the institution: Stock markets? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",Yellow,,,
,Q10A12_1,F5A12_1,How much trust do you have in the institution: The press and the newspapers? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A13_1,F5A13_1,How much trust do you have in the institution: Public television? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A14_1,F5A14_1,How much trust do you have in the institution: Private television stations? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A15_1,F5A15_1,How much trust do you have in the institution: Classic news sites on the Internet (e.g. nytimes.com or washingtonpost.com)? ,"1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
,Q10A16_1,F5A16_1,"How much trust do you have in the institution: Social media (e.g. Twitter, Facebook, Telegram)? ","1,2,3,4,5","A lot of trust,Quite a lot of trust,Neither trust nor distrust,Little trust,No trust at all",,,,
rating,-,F5a,"How often do you get news from sources, such as...? ",-,,Grey,,,
,Q11A1_1,F5aA1_1,"How often do you get news from sources, such as: public media institutions (National Public Radio (NPR), Public Broadcasting Service (PBS), and local public broadcasting services)? ","1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
,Q11A2_1,F5aA2_1,"How often do you get news from sources, such as: from privately established media companies  (Fox Broadcasting Company (FOX), American Broadcasting Company (abc), National Broadcasting Company (NBC), The Wall Street Journal, New York Times, USA Today) ","1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
,Q11A3_1,F5aA3_1,"How often do you get news from sources, such as: from alternative providers (newsbloggers, social media influencers, etc) ","1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
rating,-,F5b,What channels do you use to access this? ,-,,Grey,,,
,Q12A1_1,F5bA1_1,How much do you access: Websites and news apps ?,"1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
,Q12A2_1,F5bA2_1,"How much do you access: Social media (Facebook, Instagram, Youtube, Twitter, TikTok, etc.)?","1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
,Q12A3_1,F5bA3_1,"How much do you access: Messenger services (WhatsApp, Telegram, Facebook Messenger, Threema)?","1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
,Q12A4_1,F5bA4_1,How much do you access: Television?,"1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
,Q12A5_1,F5bA5_1,How much do you access: Radio and podcasts?,"1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
,Q12A6_1,F5bA6_1,How much do you access: Print media?,"1,2,3,4,5,6,7","Several times a day,Once a day,3-4 times a week,1-2 times a week,3-4 times a month,1-2 times a month,Less frequently",,,,
